Term,Cross-Listed Course,Course,Title,Days,Start-End,Lab Days,Lab Start-End,Active Students,Building,Room_#
23/FA,,PSY*209*11,Stats & Design I w/ Lab,MWF,01:30PM-02:20PM,T,01:00PM-02:30PM,10,DUNN,NG14
23/SP,,PSY*321*10,Expermntl Social Psych w/ Lab,TTH,11:30AM-12:45PM,TH,01:00PM-03:00PM,11,DUNN,NG01
23/SP,,PSY*317*10,Princ Sensatn/Perceptn w/ Lab,MWF,01:30PM-02:20PM,T,01:00PM-03:00PM,13,DUNN,NG20
23/SP,,PSY*305*10,Psychopharmacology w/ Lab,TTH,11:30AM-12:45PM,TH,01:00PM-03:00PM,7,DUNN,N112
23/SP,,ENV*141*10,"Atmosphere, Ocean, Env w/ Lab",MWF,08:30AM-09:20AM,T,01:00PM-03:00PM,16,CMWL,104
22/SP,,PSY*321*10,Expermntl Social Psych w/ Lab,TTH,11:30AM-12:45PM,TH,01:00PM-03:00PM,9,DUNN,NG01
22/SP,,PSY*309*11,Stats & Design II w/ Lab,MWF,10:30AM-11:20AM,TH,01:00PM-03:00PM,9,DUNN,NG14
22/SP,,PSY*209*11,Stats & Design I w/ Lab,MWF,11:30AM-12:20PM,T,01:00PM-03:00PM,3,DUNN,NG14
22/FA,,PSY*302*10,AdvDev. w/Lab: Social Dvlpmt,MWF,10:30AM-11:20AM,TH,01:00PM-03:00PM,6,DUNN,NG13
22/FA,,PSY*309*11,Stats & Design II w/ Lab,MWF,01:30PM-02:20PM,TH,01:00PM-03:00PM,6,DUNN,NG14
22/FA,,PSY*209*11,Stats & Design I w/ Lab,MWF,09:30AM-10:20AM,T,01:00PM-03:00PM,9,DUNN,NG14
22/FA,,ENV*141*10,"Atmosphere, Ocean, Env w/ Lab",MWF,09:30AM-10:20AM,T,01:00PM-03:00PM,18,CMWL,104
22/FA,,PSY*320*11,Health Psychology w/ Lab,MWF,09:30AM-10:20AM,T,01:00PM-03:00PM,10,DUNN,NG13
23/FA,,ENV*242*10,Applied Ecology,MWF,10:30AM-11:20AM,TH,01:00PM-03:30PM,16,CMWL,104
22/FA,,ENV*242*10,Applied Ecology,MWF,10:30AM-11:20AM,TH,01:00PM-03:30PM,16,CMWL,104
23/SP,,PHY*112*10,General Physics II w/ Lab,MWF,09:30AM-10:20AM,TH,01:00PM-03:45PM,5,DUNN,N201
23/SP,,PHY*112*11,General Physics II w/ Lab,MWF,09:30AM-10:20AM,T,01:00PM-03:45PM,4,DUNN,N201
23/FA,,PHY*111*11,General Physics I w/ Lab,MWF,09:30AM-10:20AM,T,01:00PM-03:45PM,3,DUNN,N201
22/SP,,PHY*352*10,Electronics w/ Lab,MWF,03:30PM-04:20PM,T,01:00PM-03:45PM,7,DUNN,N207
